date,P1Name,P2Name,P1WinProb,P2WinProb,P1Hand,P2Hand,Gender
2013-12-30,Marinko Matosevic,Julien Benneteau,,,RH,RH,M
2013-12-30,Marin Cilic,Denis Istomin,,,RH,RH,M
2013-12-30,Sam Querrey,Dmitry Tursunov,,,RH,RH,M
2013-12-30,Grigor Dimitrov,Robin Haase,,,RH,RH,M
2013-12-31,Feliciano Lopez,Mikhail Kukushkin,,,LH,RH,M
2013-12-31,Jeremy Chardy,Adrian Mannarino,,,RH,LH,M
2013-12-31,Lleyton Hewitt,Thanasi Kokkinakis,,,RH,RH,M
2013-12-31,Samuel Groth,Ryan Harrison,,,RH,RH,M
2014-01-01,Marinko Matosevic,Sam Querrey,,,RH,RH,M
2014-01-01,Marin Cilic,Grigor Dimitrov,,,RH,RH,M
2014-01-01,Kei Nishikori,Matthew Ebden,,,RH,RH,M
2014-01-01,Roger Federer,Jarkko Nieminen,,,RH,LH,M
2014-01-02,Jeremy Chardy,Nicolas Mahut,,,RH,RH,M
2014-01-02,Lleyton Hewitt,Feliciano Lopez,,,RH,LH,M
2014-01-03,Kei Nishikori,Marin Cilic,,,RH,RH,M
2014-01-03,Jeremy Chardy,Samuel Groth,,,RH,RH,M
2014-01-03,Roger Federer,Marinko Matosevic,,,RH,RH,M
2014-01-04,Lleyton Hewitt,Kei Nishikori,,,RH,RH,M
2014-01-04,Roger Federer,Jeremy Chardy,,,RH,RH,M
2014-01-05,Lleyton Hewitt,Roger Federer,,,RH,RH,M
2013-12-30,Dudi Sela,Lukas Lacko,,,RH,RH,M
2013-12-30,Vasek Pospisil,Kyle Edmund,,,RH,RH,M
2013-12-31,Benjamin Becker,Julian Reister,,,RH,RH,M
2013-12-31,Marcel Granollers,Radu Albot,,,RH,RH,M
2014-01-01,Dudi Sela,Mikhail Youzhny,,,RH,RH,M
2014-01-01,Stan Wawrinka,Benjamin Becker,,,RH,RH,M
2014-01-03,Stan Wawrinka,Aljaz Bedene,,,RH,RH,M
2014-01-03,Marcel Granollers,Benoit Paire,,,RH,RH,M
2014-01-04,Stan Wawrinka,Vasek Pospisil,,,RH,RH,M
2013-12-30,Gael Monfils,Santiago Giraldo,,,RH,RH,M
2013-12-30,Ivo Karlovic,Tomas Berdych,,,RH,RH,M
2013-12-30,Fernando Verdasco,Filippo Volandri,,,LH,RH,M
2013-12-30,Tobias Kamke,Malek Jaziri,,,RH,RH,M
2013-12-31,Dustin Brown,Ivan Dodig,,,RH,RH,M
2013-12-31,Peter Gojowczyk,Dominic Thiem,,,RH,RH,M
2013-12-31,Florian Mayer,Michal Przysiezny,,,RH,RH,M
2013-12-31,Rafael Nadal,Lukas Rosol,,,LH,RH,M
2013-12-31,Philipp Kohlschreiber,Pablo Andujar,,,RH,RH,M
2014-01-01,Peter Gojowczyk,Philipp Kohlschreiber,,,RH,RH,M
2014-01-01,Florian Mayer,Andy Murray,,,RH,RH,M
2014-01-01,Dustin Brown,Ivo Karlovic,,,RH,RH,M
2014-01-01,Rafael Nadal,Tobias Kamke,,,LH,RH,M
2014-01-01,Ernests Gulbis,Lukasz Kubot,,,RH,RH,M
2014-01-01,Gael Monfils,Richard Gasquet,,,RH,RH,M
2014-01-02,Peter Gojowczyk,Dustin Brown,,,RH,RH,M
2014-01-02,Rafael Nadal,Ernests Gulbis,,,LH,RH,M
2014-01-03,Rafael Nadal,Peter Gojowczyk,,,LH,RH,M
2014-01-03,Gael Monfils,Florian Mayer,,,RH,RH,M
2014-01-04,Rafael Nadal,Gael Monfils,,,LH,RH,M
2014-01-06,Santiago Giraldo,Albert Montanes,,,RH,RH,M
2014-01-06,Jack Sock,Adrian Mannarino,,,RH,LH,M
2014-01-06,Horacio Zeballos,Filippo Volandri,,,LH,RH,M
2014-01-06,Donald Young,Federico Delbonis,,,LH,LH,M
2014-01-07,Benoit Paire,Michal Przysiezny,,,RH,RH,M
2014-01-07,Steve Johnson,Marcos Baghdatis,,,RH,RH,M
2014-01-07,Jack Sock,Tommy Haas,,,RH,RH,M
2014-01-07,Philipp Kohlschreiber,Horacio Zeballos,,,RH,LH,M
2014-01-08,John Isner,Lukas Lacko,,,RH,RH,M
2014-01-08,Steve Johnson,Kevin Anderson,,,RH,RH,M
2014-01-08,David Ferrer,Donald Young,,,RH,LH,M
2014-01-09,John Isner,Philipp Kohlschreiber,,,RH,RH,M
2014-01-06,Denis Istomin,Pablo Andujar,,,RH,RH,M
2014-01-06,Julien Benneteau,Matthew Ebden,,,RH,RH,M
2014-01-06,Lukas Rosol,Joao Sousa,,,RH,RH,M
2014-01-07,Nicolas Mahut,Ryan Harrison,,,RH,RH,M
2014-01-07,Albert Ramos,Sam Querrey,,,LH,RH,M
2014-01-07,Radek Stepanek,Samuel Groth,,,RH,RH,M
2014-01-07,Sergiy Stakhovsky,Carlos Berlocq,,,RH,RH,M
2014-01-07,Blaz Kavcic,Jarkko Nieminen,,,RH,LH,M
